"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FC","2022-04-24","90.9","-1.75","5.84","Ohtani, Shohei",660271,664042,"force_out","hit_into_play",,,,,"5","Shohei Ohtani grounds into a force out, third baseman Kelvin Gutierrez to shortstop Jorge Mateo.   Andrew Velazquez out at 2nd.","R","L","R","LAA","BAL","X","5","ground_ball","0","2",2022,"0.4","0.47","-0.20","2.74",,,"623205","2","1","Bot",108.89,148.7,,,"455139",,,2.995723576280133,-132.43743422459025,-2.8895346465341754,4.161086874959159,27.155221326280312,-26.28559381832707,"3.44","1.64","24","94.9","-5","90.3","2395","5.8",661033,664042,"455139","663624","572008","642721","622761","669720","656775","623993","54.71","0.274","0.288","0","1","0","0","2","14","3","Cutter","6","0","6","0","0","6","6","0","Infield shift","Standard","159","-0.004","-0.1"
"FF","2022-04-24","93.2","-1.72","5.92","Ohtani, Shohei",660271,664042,,"called_strike",,,,,"8","Shohei Ohtani grounds into a force out, third baseman Kelvin Gutierrez to shortstop Jorge Mateo.   Andrew Velazquez out at 2nd.","R","L","R","LAA","BAL","S",,,"0","1",2022,"-0.39","1.35","-0.12","2.05",,,"623205","2","1","Bot",,,,,"455139",,,4.915317523206037,-135.53859691389283,-7.091810963521321,-5.85226382660504,29.62586474843352,-14.131368789040758,"3.46","1.67",,,,"92.6","2310","6",661033,664042,"455139","663624","572008","642721","622761","669720","656775","623993","54.51",,,,,,,,"14","2","4-Seam Fastball","6","0","6","0","0","6","6","0","Infield shift","Standard","208","0","-0.067"
"FF","2022-04-24","93.6","-1.53","5.91","Ohtani, Shohei",660271,664042,,"foul_tip",,,,,"2","Shohei Ohtani grounds into a force out, third baseman Kelvin Gutierrez to shortstop Jorge Mateo.   Andrew Velazquez out at 2nd.","R","L","R","LAA","BAL","S",,,"0","0",2022,"-0.35","1.41","0.10","3.09",,,"623205","2","1","Bot",,,,,"455139",,,4.93107140512183,-136.1239967205323,-4.598818891561085,-5.457967118620243,31.76124870027189,-13.829010546678738,"3.44","1.64",,,,"92.7","1517","5.9",661033,664042,"455139","663624","572008","642721","622761","669720","656775","623993","54.59",,,,,,,,"14","1","4-Seam Fastball","6","0","6","0","0","6","6","0","Infield shift","Standard","137","0","-0.043"
"FF","2022-04-24","94.9","-1.56","6.31","Ohtani, Shohei",660271,657508,"single","hit_into_play",,,,,"6","Shohei Ohtani singles on a ground ball to right fielder Anthony Santander.","R","L","R","LAA","BAL","X","9","ground_ball","2","0",2022,"-0.06","1.33","0.81","2.61",,,,"0","7","Bot",188.22,109.92,,,"455139",,,6.367924788074014,-137.90685214934834,-7.017868045971412,-2.1766306519033987,31.06051960218555,-13.761048734156002,"3.44","1.64","79","89.7","4","95.4","2065","6.7",661033,657508,"455139","663624","596059","642721","622761","669720","656775","623993","53.81","0.434","0.395","0.9","1","1","0","4","63","3","4-Seam Fastball","6","6","6","6","6","6","6","6","Infield shift","Standard","203","0.057","0.287"
"FF","2022-04-24","95.3","-2.08","6.32","Ohtani, Shohei",660271,657508,,"ball",,,,,"11","Shohei Ohtani singles on a ground ball to right fielder Anthony Santander.","R","L","R","LAA","BAL","B",,,"1","0",2022,"0.18","1.52","-1.38","4.89",,,,"0","7","Bot",,,,,"455139",,,1.4342141453057489,-138.75536584314676,-1.5281575481209198,1.948469171455852,32.10706338394679,-12.457631815812466,"3.37","1.62",,,,"95.2","2038","6.3",661033,657508,"455139","663624","596059","642721","622761","669720","656775","623993","54.24",,,,,,,,"63","2","4-Seam Fastball","6","6","6","6","6","6","6","6","Infield shift","Standard","201","0","0.053"
"FF","2022-04-24","96.2","-1.92","6.33","Ohtani, Shohei",660271,657508,,"ball",,,,,"11","Shohei Ohtani singles on a ground ball to right fielder Anthony Santander.","R","L","R","LAA","BAL","B",,,"0","0",2022,"-0.08","1.34","-0.46","4.42",,,,"0","7","Bot",,,,,"455139",,,4.0591700430248085,-139.98535111399767,-2.51124343750347,-1.9763083210733672,33.51157680305364,-14.233286723960743,"3.3","1.6",,,,"96.3","2076","6.5",661033,657508,"455139","663624","596059","642721","622761","669720","656775","623993","54",,,,,,,,"63","1","4-Seam Fastball","6","6","6","6","6","6","6","6","Infield shift","Standard","203","0","0.035"
"SL","2022-04-24","83.7","2.62","5.75","Ohtani, Shohei",660271,669211,"field_error","hit_into_play",,,,,"8","Shohei Ohtani reaches on a fielding error by second baseman Chris Owings.","R","L","L","LAA","BAL","X","4","ground_ball","0","2",2022,"-0.66","-0.27","-0.14","1.82",,,,"2","4","Bot",153.8,142.13,,,"455139",,,-5.004890035183227,-121.7937699611833,-2.112575615479795,-5.639489550690876,23.84318091078872,-34.65451569293009,"3.44","1.64","8","88.1","-12","83.2","2231","5.9",661033,669211,"455139","663624","572008","642721","622761","669720","656775","623993","54.57","0.143","0.141","0.9","1","0","0","2","35","3","Slider","6","3","6","3","3","6","6","3","Infield shift","Standard","268","0.006","0.169"
"SL","2022-04-24","84.1","2.51","5.79","Ohtani, Shohei",660271,669211,,"swinging_strike",,,,,"13","Shohei Ohtani reaches on a fielding error by second baseman Chris Owings.","R","L","L","LAA","BAL","S",,,"0","1",2022,"-0.61","-0.25","-0.95","1.19",,,,"2","4","Bot",,,,,"455139",,,-6.763378498418184,-122.47282102606621,-3.8782519193554243,-5.0632520268352375,20.059020680568818,-34.28345546951774,"3.44","1.64",,,,"84.1","2393","5.9",661033,669211,"455139","663624","572008","642721","622761","669720","656775","623993","54.64",,,,,,,,"35","2","Slider","6","3","6","3","3","6","6","3","Infield shift","Standard","268","0","-0.026"
"FF","2022-04-24","93.7","2.26","6.06","Ohtani, Shohei",660271,669211,,"swinging_strike",,,,,"3","Shohei Ohtani reaches on a fielding error by second baseman Chris Owings.","R","L","L","LAA","BAL","S",,,"0","0",2022,"0.68","1.45","0.83","3.24",,,,"2","4","Bot",,,,,"455139",,,-5.168173965925931,-136.39180234003177,-4.76681604797428,9.554562800968469,27.91278873633493,-13.172192036890953,"3.44","1.64",,,,"93.3","2304","5.9",661033,669211,"455139","663624","572008","642721","622761","669720","656775","623993","54.62",,,,,,,,"35","1","4-Seam Fastball","6","3","6","3","3","6","6","3","Infield shift","Standard","149","0","-0.02"
"FF","2022-04-24","91.4","-1.77","6.21","Ohtani, Shohei",660271,595939,"walk","ball",,,,,"11","Shohei Ohtani walks.","R","L","R","LAA","BAL","B",,,"3","1",2022,"-1.08","1.38","-1.13","2.73",,,,"0","1","Bot",,,,,"455139",,,3.9522899751599168,-133.01087661365963,-5.848808714959536,-13.719126687201351,28.84370980134126,-14.68602078360486,"3.46","1.65",,,,"91.1","2218","6.2",661033,595939,"455139","663624","572008","642721","622761","669720","656775","623993","54.35",,,"0.7","1","0","0",,"5","5","4-Seam Fastball","0","0","0","0","0","0","0","0","Infield shift","Standard","230","0.036","0.227"
