"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"CU","2022-04-20","77.2","-2.1","6.24","Ohtani, Shohei",488726,660271,"field_out","hit_into_play",,,,,"5","Michael Brantley grounds out, second baseman Tyler Wade to first baseman Jared Walsh.","R","L","R","HOU","LAA","X","4","ground_ball","0","0",2022,"1.37","-1.1","0.16","2.36",,"488771","665161","2","6","Bot",138.23,149.94,,,"545358",,,2.3296411664367542,-112.25437595718998,0.9049678615832064,10.82691878548206,25.158107144812337,-41.7857607425707,"3.34","1.53","92","95.0","5","77.1","2631","6.8",662926,660271,"545358","665120","642180","543685","623205","666176","669016","621493","53.72","0.56","0.513","0","1","0","0","4","50","1","Curveball","0","6","0","6","6","0","0","6","Infield shift","Standard","43","-0.012","-0.494"
"FF","2022-04-20","98.3","-2.19","5.99","Ohtani, Shohei",665161,660271,"walk","ball",,,,,"14","Jeremy Pena walks.   Jason Castro to 2nd.","R","R","R","HOU","LAA","B",,,"3","2",2022,"-0.16","1.13","1.59","2.07",,,"488771","2","6","Bot",,,,,"545358",,,10.713458806908813,-142.6229293765508,-7.818958822901299,-4.686924244240333,33.65497669548041,-15.0215709358415,"3.7","1.8",,,,"99.2","2240","7",662926,660271,"545358","665120","642180","543685","623205","666176","669016","621493","53.51",,,"0.7","1","0","0",,"49","7","4-Seam Fastball","0","6","0","6","6","0","0","6","Standard","Standard","216","0.007","0.245"
"SL","2022-04-20","83.9","-2.47","5.8","Ohtani, Shohei",665161,660271,,"foul",,,,,"6","Jeremy Pena walks.   Jason Castro to 2nd.","R","R","R","HOU","LAA","S",,,"3","2",2022,"1.82","0.34","0.32","2.62",,,"488771","2","6","Bot",,,,,"545358",,,2.8729379387281164,-122.07104029973331,-1.5569290419212416,17.366800302156403,27.403731281119825,-28.65487344447253,"3.7","1.8","110","69.0","9","84.3","2583","6.9",662926,660271,"545358","665120","642180","543685","623205","666176","669016","621493","53.59",,,,,,,,"49","6","Slider","0","6","0","6","6","0","0","6","Standard","Standard","65","0","0"
"FF","2022-04-20","97.5","-2.38","5.97","Ohtani, Shohei",665161,660271,,"ball",,,,,"12","Jeremy Pena walks.   Jason Castro to 2nd.","R","R","R","HOU","LAA","B",,,"2","2",2022,"-0.04","1.16","0.93","3.44",,,"488771","2","6","Bot",,,,,"545358",,,9.104470295827145,-141.6712868261276,-3.971125073109146,-2.7181176835716787,33.10436761358329,-15.805460948564711,"3.7","1.8",,,,"98.3","2290","6.9",662926,660271,"545358","665120","642180","543685","623205","666176","669016","621493","53.63",,,,,,,,"49","5","4-Seam Fastball","0","6","0","6","6","0","0","6","Standard","Standard","211","0","0.087"
"SL","2022-04-20","84.4","-2.41","5.83","Ohtani, Shohei",665161,660271,,"ball",,,,,"12","Jeremy Pena walks.   Jason Castro to 2nd.","R","R","R","HOU","LAA","B",,,"1","2",2022,"1.86","0.38","1.58","2.78",,,"488771","2","6","Bot",,,,,"545358",,,5.6455882402566315,-122.76682280739756,-1.3872871561003188,17.324791010621933,27.7588314226743,-28.278144406214132,"3.7","1.8",,,,"84.9","2500","6.9",662926,660271,"545358","665120","642180","543685","623205","666176","669016","621493","53.56",,,,,,,,"49","4","Slider","0","6","0","6","6","0","0","6","Standard","Standard","62","0","0.007"
"SL","2022-04-20","83.7","-2.28","5.88","Ohtani, Shohei",665161,660271,,"swinging_strike",,,,,"14","Jeremy Pena walks.   Jason Castro to 2nd.","R","R","R","HOU","LAA","S",,,"1","1",2022,"1.76","0.45","1.01","1.92",,,"488771","2","6","Bot",,,,,"545358",,,4.166191868916733,-121.78350124964027,-3.579350046608932,16.46482618914678,25.989746970776014,-27.184760322267692,"3.7","1.8",,,,"84.5","2544","7",662926,660271,"545358","665120","642180","543685","623205","666176","669016","621493","53.48",,,,,,,,"49","3","Slider","0","6","0","6","6","0","0","6","Standard","Standard","68","0","-0.057"
"FF","2022-04-20","96.1","-2.07","6.04","Ohtani, Shohei",665161,660271,,"called_strike",,,,,"6","Jeremy Pena walks.   Jason Castro to 2nd.","R","R","R","HOU","LAA","S",,,"1","0",2022,"-0.06","1.08","0.42","2.49",,,"488771","2","6","Bot",,,,,"545358",,,6.801855119654825,-139.70334671586417,-6.281299439262467,-2.400771351533844,33.53853930303062,-16.79027481137946,"3.7","1.8",,,,"96.9","2278","6.9",662926,660271,"545358","665120","642180","543685","623205","666176","669016","621493","53.55",,,,,,,,"49","2","4-Seam Fastball","0","6","0","6","6","0","0","6","Standard","Standard","208","0","-0.043"
"SL","2022-04-20","83.3","-2.3","5.93","Ohtani, Shohei",665161,660271,,"ball",,,,,"14","Jeremy Pena walks.   Jason Castro to 2nd.","R","R","R","HOU","LAA","B",,,"0","0",2022,"1.33","0.23","0.97","1.12",,,"488771","2","6","Bot",,,,,"545358",,,4.937352893883934,-121.09922937165169,-4.991556969423688,11.914890820770568,25.890550495066584,-29.11894590870068,"3.7","1.8",,,,"83.7","2490","6.8",662926,660271,"545358","665120","642180","543685","623205","666176","669016","621493","53.67",,,,,,,,"49","1","Slider","0","6","0","6","6","0","0","6","Standard","Standard","58","0","0.041"
"SL","2022-04-20","82.2","-2.26","5.93","Ohtani, Shohei",642350,660271,"field_out","hit_into_play",,,,,"2","Jose Siri pops out to second baseman Tyler Wade.","R","R","R","HOU","LAA","X","4","popup","0","0",2022,"1.52","0.22","-0.12","2.88",,,"488771","1","6","Bot",148.54,146.91,,,"545358",,,1.9221590480633721,-119.70958174869615,-0.7625553894021404,14.171515619701667,25.008095954164634,-30.131306847223623,"3.35","1.62","121","90.6","69","82.9","2393","6.9",662926,660271,"545358","665120","642180","543685","623205","666176","669016","621493","53.6","0.009","0.008","0","1","0","0","3","48","1","Slider","0","6","0","6","6","0","0","6","Standard","Standard","63","-0.009","-0.315"
"SL","2022-04-20","85.1","-2.4","5.92","Ohtani, Shohei",488771,660271,"single","hit_into_play",,,,,"9","Jason Castro singles on a line drive to center fielder Brandon Marsh.","R","L","R","HOU","LAA","X","8","line_drive","3","2",2022,"1.53","0.17","0.32","2.04",,,,"1","6","Bot",141.62,90.93,,,"545358",,,3.316721061770239,-123.80725650939895,-3.0692008300509164,14.852044010678012,28.37511829065302,-29.9576666764067,"3.61","1.69","205","76.3","20","85.3","2537","6.8",662926,660271,"545358","665120","642180","543685","623205","666176","669016","621493","53.72","0.971","0.894","0.9","1","1","0","4","47","6","Slider","0","6","0","6","6","0","0","6","Infield shift","Standard","65","0.008","0.226"
